tick,population,food_count,avg_speed,avg_vision,avg_metabolism,avg_repro_threshold,avg_energy
5,135,37,2.363,5.570,0.833,15.732,8.076
10,215,16,2.577,5.921,0.739,14.528,7.325
15,287,3,2.690,6.157,0.692,14.068,6.719
20,318,3,2.745,5.821,0.651,13.841,6.451
25,353,2,2.796,5.674,0.614,13.375,5.726
30,349,1,2.797,5.567,0.562,12.725,6.082
35,382,0,2.796,5.325,0.524,12.659,5.802
40,413,1,2.789,5.346,0.483,12.510,5.628
45,426,1,2.775,5.399,0.465,12.159,5.225
50,421,3,2.770,5.304,0.454,12.176,5.506
55,452,1,2.779,5.223,0.441,12.136,5.386
60,479,1,2.768,5.205,0.439,11.948,5.203
65,444,0,2.804,5.074,0.435,11.955,5.196
70,464,0,2.830,5.017,0.433,11.814,5.219
75,449,2,2.846,5.016,0.430,12.073,5.246
80,483,1,2.872,5.093,0.429,11.861,5.225
85,478,0,2.868,4.992,0.427,11.864,5.096
90,473,0,2.854,4.979,0.434,11.922,5.222
95,471,0,2.856,4.953,0.424,12.097,5.361
100,479,0,2.891,4.921,0.425,12.036,5.126
105,462,0,2.909,4.781,0.425,12.038,5.206
110,474,0,2.926,4.624,0.421,12.051,5.306
115,486,0,2.922,4.461,0.422,12.094,5.391
120,519,1,2.909,4.374,0.418,12.175,5.228
125,500,2,2.888,4.332,0.414,12.081,5.208
130,484,1,2.909,4.165,0.418,12.181,5.295
135,477,0,2.910,4.096,0.422,12.354,5.593
140,488,1,2.889,4.090,0.418,12.422,5.590
145,501,0,2.892,4.030,0.419,12.480,5.537
150,489,0,2.918,4.112,0.417,12.611,5.586
155,500,0,2.910,4.136,0.415,12.630,5.840
160,526,1,2.875,4.175,0.416,12.729,5.501
165,479,0,2.854,4.234,0.412,13.233,6.063
170,511,0,2.841,4.295,0.414,13.408,5.904
175,492,0,2.846,4.252,0.411,13.474,6.042
180,499,1,2.854,4.066,0.408,13.510,6.029
185,492,1,2.833,3.935,0.414,13.649,6.309
190,521,0,2.871,3.929,0.411,13.717,5.989
195,496,0,2.859,4.002,0.412,14.104,6.403
200,510,1,2.841,4.008,0.418,14.245,6.428
205,514,1,2.856,3.903,0.417,14.315,6.338
210,506,1,2.858,3.909,0.414,14.423,6.272
215,502,0,2.863,3.904,0.416,14.273,6.410
220,512,1,2.855,3.850,0.417,14.402,6.283
225,503,0,2.855,3.795,0.413,14.489,6.596
230,539,1,2.839,3.783,0.414,14.286,6.197
235,520,1,2.825,3.831,0.415,14.297,6.197
240,518,0,2.863,3.790,0.413,14.397,6.290
245,503,0,2.871,3.740,0.416,14.758,6.511
250,488,0,2.898,3.791,0.413,15.151,6.818
255,515,0,2.905,3.771,0.414,14.925,6.730
260,522,0,2.912,3.747,0.416,14.915,6.448
265,489,1,2.902,3.693,0.417,15.075,6.810
270,508,0,2.888,3.634,0.418,15.154,6.761
275,511,0,2.843,3.603,0.415,15.331,6.841
280,513,0,2.838,3.540,0.410,15.573,6.831
285,497,0,2.845,3.531,0.413,16.007,7.093
290,510,0,2.849,3.433,0.410,15.602,7.072
295,509,2,2.849,3.466,0.408,15.373,7.001
300,530,0,2.866,3.455,0.411,15.349,7.010
305,540,0,2.880,3.491,0.413,15.338,6.776
310,518,0,2.871,3.432,0.413,15.293,6.786
315,520,0,2.873,3.456,0.413,15.376,6.820
320,530,1,2.870,3.417,0.413,15.295,6.743
325,525,0,2.865,3.417,0.418,15.451,6.763
330,499,1,2.852,3.463,0.419,15.629,7.266
335,527,1,2.854,3.480,0.419,15.644,6.836
340,511,0,2.871,3.483,0.417,16.003,6.849
345,499,0,2.888,3.447,0.410,15.743,7.064
350,525,2,2.901,3.438,0.412,15.573,6.672
355,502,2,2.918,3.444,0.413,15.962,6.961
360,532,0,2.923,3.423,0.408,15.495,6.680
365,530,0,2.915,3.411,0.411,15.156,6.468
370,494,0,2.903,3.457,0.414,15.427,6.987
375,508,0,2.917,3.362,0.414,15.475,6.827
380,506,1,2.915,3.287,0.416,15.264,6.958
385,510,1,2.894,3.302,0.416,15.178,6.916
390,547,0,2.898,3.309,0.416,15.047,6.525
395,523,0,2.899,3.256,0.424,14.933,6.328
400,499,0,2.896,3.273,0.419,14.928,6.675
405,513,1,2.893,3.294,0.410,14.991,6.746
